id,created_at,user_id,program_id,keyword_id,keyword_name,program_name,recommended_age_span_start,recommended_age_span_end,interest_id1,interest_id2,interest_id3
1,2020.01.01 4:47:17,157,144,26,고구마,고구마캐기 체험,4,13,105,,
1,2020.01.01 4:47:17,157,144,26,고구마,고구마캐기 체험,4,13,105,,
1,2020.01.01 4:47:17,157,144,256,캐기,고구마캐기 체험,4,13,105,,
1,2020.01.01 4:47:17,157,144,67,농장,고구마캐기 체험,4,13,105,,
1,2020.01.01 4:47:17,157,144,68,농장체험,고구마캐기 체험,4,13,105,,
1,2020.01.01 4:47:17,157,144,22,감자,고구마캐기 체험,4,13,105,,
1,2020.01.01 4:47:17,157,144,22,감자,고구마캐기 체험,4,13,105,,
1,2020.01.01 4:47:17,157,144,256,캐기,고구마캐기 체험,4,13,105,,
1,2020.01.01 4:47:17,157,144,161,식물,고구마캐기 체험,4,13,105,,
1,2020.01.01 4:47:17,157,144,66,농사,고구마캐기 체험,4,13,105,,
2,2020.01.02 14:34:22,33,70,284,패러글라이딩,패러글라이딩 체험,8,13,44,,
2,2020.01.02 14:34:22,33,70,159,스포츠,패러글라이딩 체험,8,13,44,,
2,2020.01.02 14:34:22,33,70,130,비행,패러글라이딩 체험,8,13,44,,
2,2020.01.02 14:34:22,33,70,284,패러글라이딩,패러글라이딩 체험,8,13,44,,
2,2020.01.02 14:34:22,33,70,248,체험,패러글라이딩 체험,8,13,44,,
3,2020.01.02 15:47:19,36,119,271,키즈카페,루미플레이스 이용권,8,13,105,,
3,2020.01.02 15:47:19,36,119,162,실내,루미플레이스 이용권,8,13,105,,
3,2020.01.02 15:47:19,36,119,162,실내,루미플레이스 이용권,8,13,105,,
3,2020.01.02 15:47:19,36,119,65,놀이터,루미플레이스 이용권,8,13,105,,
3,2020.01.02 15:47:19,36,119,269,키즈,루미플레이스 이용권,8,13,105,,
3,2020.01.02 15:47:19,36,119,255,카페,루미플레이스 이용권,8,13,105,,
3,2020.01.02 15:47:19,36,119,58,낚시카페,루미플레이스 이용권,8,13,105,,
3,2020.01.02 15:47:19,36,119,57,낚시,루미플레이스 이용권,8,13,105,,
3,2020.01.02 15:47:19,36,119,126,보드게임,루미플레이스 이용권,8,13,105,,
4,2020.01.02 16:29:22,124,63,36,과일,과일수제청 쿠키 만들기,7,13,59,,
4,2020.01.02 16:29:22,124,63,37,과일수제청,과일수제청 쿠키 만들기,7,13,59,,
4,2020.01.02 16:29:22,124,63,152,수제청,과일수제청 쿠키 만들기,7,13,59,,
4,2020.01.02 16:29:22,124,63,201,음료,과일수제청 쿠키 만들기,7,13,59,,
4,2020.01.02 16:29:22,124,63,202,음료수,과일수제청 쿠키 만들기,7,13,59,,
4,2020.01.02 16:29:22,124,63,234,쥬스,과일수제청 쿠키 만들기,7,13,59,,
5,2020.01.02 16:31:13,114,135,214,전시,(전시/공연)연극 북금골예술 여행,5,13,105,,
5,2020.01.02 16:31:13,114,135,34,공연,(전시/공연)연극 북금골예술 여행,5,13,105,,
5,2020.01.02 16:31:13,114,135,41,관람,(전시/공연)연극 북금골예술 여행,5,13,105,,
5,2020.01.02 16:31:13,114,135,109,뮤지컬,(전시/공연)연극 북금골예술 여행,5,13,105,,
5,2020.01.02 16:31:13,114,135,162,실내,(전시/공연)연극 북금골예술 여행,5,13,105,,
5,2020.01.02 16:31:13,114,135,47,극장,(전시/공연)연극 북금골예술 여행,5,13,105,,
5,2020.01.02 16:31:13,114,135,186,예술,(전시/공연)연극 북금골예술 여행,5,13,105,,
5,2020.01.02 16:31:13,114,135,280,티켓,(전시/공연)연극 북금골예술 여행,5,13,105,,
6,2020.01.02 19:57:11,28,43,265,쿠킹,쌀머핀 만들기,3,13,55,56.0,
6,2020.01.02 19:57:11,28,43,123,베이킹,쌀머핀 만들기,3,13,55,56.0,
6,2020.01.02 19:57:11,28,43,38,과자,쌀머핀 만들기,3,13,55,56.0,
6,2020.01.02 19:57:11,28,43,171,아이싱,쌀머핀 만들기,3,13,55,56.0,
6,2020.01.02 19:57:11,28,43,264,쿠키,쌀머핀 만들기,3,13,55,56.0,
6,2020.01.02 19:57:11,28,43,264,쿠키,쌀머핀 만들기,3,13,55,56.0,
6,2020.01.02 19:57:11,28,43,171,아이싱,쌀머핀 만들기,3,13,55,56.0,
6,2020.01.02 19:57:11,28,43,188,오븐,쌀머핀 만들기,3,13,55,56.0,
6,2020.01.02 19:57:11,28,43,182,양식,쌀머핀 만들기,3,13,55,56.0,
6,2020.01.02 19:57:11,28,43,190,요리,쌀머핀 만들기,3,13,55,56.0,
6,2020.01.02 19:57:11,28,43,230,주방,쌀머핀 만들기,3,13,55,56.0,
6,2020.01.02 19:57:11,28,43,263,케이크,쌀머핀 만들기,3,13,55,56.0,
6,2020.01.02 19:57:11,28,43,281,파이,쌀머핀 만들기,3,13,55,56.0,
6,2020.01.02 19:57:11,28,43,302,호두과자,쌀머핀 만들기,3,13,55,56.0,
6,2020.01.02 19:57:11,28,43,164,쌀,쌀머핀 만들기,3,13,55,56.0,
